id,doctor_id,department_id,days_of_week,shift_start,shift_end,room_number,max_daily_patients,is_active
sch_1,doc_1,dep_gen,"Mon,Tue,Wed,Thu,Fri,Sat",08:00 AM,04:00 PM,Room 101,40,True
sch_2,doc_2,dep_card,"Mon,Tue,Wed,Thu,Fri",08:30 AM,04:30 PM,Room 204,30,True
sch_3,doc_3,dep_ortho,"Mon,Tue,Wed,Thu,Fri,Sat",09:00 AM,05:00 PM,Room 105,35,True
sch_4,doc_4,dep_ped,"Mon,Tue,Wed,Thu,Fri",09:30 AM,05:30 PM,Room 106,45,True
sch_5,doc_5,dep_gen,"Mon,Tue,Wed,Thu,Fri,Sat",08:00 AM,04:00 PM,Room 102,40,True
sch_6,doc_6,dep_gen,"Mon,Tue,Wed,Thu,Fri",09:00 AM,05:00 PM,Room 103,35,True
sch_7,doc_7,dep_gen,"Tue,Wed,Thu,Fri,Sat",10:00 AM,06:00 PM,Room 104,30,True
sch_8,doc_8,dep_card,"Mon,Tue,Wed,Thu,Fri",08:30 AM,04:30 PM,Room 201,25,True
sch_9,doc_9,dep_card,"Mon,Wed,Fri,Sat",09:00 AM,05:00 PM,Room 202,30,True
sch_10,doc_10,dep_ped,"Mon,Tue,Wed,Thu,Fri,Sat",08:00 AM,04:00 PM,Room 107,40,True
sch_11,doc_11,dep_ped,"Mon,Tue,Thu,Fri,Sat",09:30 AM,05:30 PM,Room 108,35,True
sch_12,doc_12,dep_ortho,"Mon,Tue,Wed,Thu,Fri",08:30 AM,04:30 PM,Room 205,25,True
sch_13,doc_13,dep_ortho,"Mon,Wed,Fri,Sat",09:00 AM,05:00 PM,Room 206,30,True
sch_14,doc_14,dep_neuro,"Mon,Tue,Wed,Thu,Fri",08:00 AM,04:00 PM,Room 301,20,True
sch_15,doc_15,dep_neuro,"Tue,Wed,Thu,Fri,Sat",09:00 AM,05:00 PM,Room 302,25,True
sch_16,doc_16,dep_ophta,"Mon,Tue,Wed,Thu,Fri,Sat",08:30 AM,04:30 PM,Room 303,40,True
sch_17,doc_17,dep_ophta,"Mon,Wed,Fri,Sat",09:30 AM,05:30 PM,Room 304,35,True
sch_18,doc_18,dep_ent,"Mon,Tue,Wed,Thu,Fri,Sat",08:00 AM,04:00 PM,Room 305,40,True
